s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
-1.200268385284475103e+00,-1.408477082901531396e+00,-1.210707679145866411e+00,8.592177261577684799e-01,7.700398080812571600e-01,7.634581397838040573e-01,7.639409799244679666e-01,6.954248476293356518e-01,4.231740720934339395e-01,0.000000000000000000e+00
2.715893294877441688e-01,5.757301324672143839e-01,7.773198167747878973e-01,8.633829992082339144e-01,7.623165690965085783e-01,6.862348916795502074e-01,-1.565177488956182250e+00,-1.758165874116941918e+00,-1.869757813804673763e+00,0.000000000000000000e+00
2.137943037814554748e-01,4.814470456507475293e-01,-9.338349097304865509e-01,-1.318372443311740749e+00,-1.189433549556469183e+00,6.096047723558171150e-01,6.907928057180502401e-01,6.445020427770090654e-01,3.909579067495144722e-01,0.000000000000000000e+00
2.803143448299807994e-01,-2.556960508757160966e+00,-2.348088787727883542e+00,1.175268090433541524e+00,1.032127344595060725e+00,1.017960949308339469e+00,1.007790014512009114e+00,9.005749316480424760e-01,5.413194502062259605e-01,0.000000000000000000e+00
1.992944795555512127e-01,-9.745139380031141441e-01,-1.327142867439322194e+00,-1.095297789586909154e+00,7.121985382305247025e-01,7.025728921360403501e-01,7.315996332234795396e-01,6.677920361426131768e-01,4.060418622758635854e-01,0.000000000000000000e+00
1.992944795555512127e-01,-9.745139380031141441e-01,-1.327142867439322194e+00,-1.095297789586909154e+00,7.121985382305247025e-01,7.025728921360403501e-01,7.315996332234795396e-01,6.677920361426131768e-01,4.060418622758635854e-01,0.000000000000000000e+00
3.754533839225756564e-01,7.866433869202922313e-01,1.057480123817918560e+00,1.155200683554010954e+00,1.011545238435267002e+00,-2.769010054985674874e+00,-2.743433884104089060e+00,8.313783508539163147e-01,4.986211599906276160e-01,0.000000000000000000e+00
3.587498165501469272e-01,7.508308926357127877e-01,9.869947159422742811e-01,1.094533183289893241e+00,-2.618657527354021575e+00,-2.783872130301252579e+00,9.082572951250595938e-01,8.441844294799676351e-01,5.120560544066932174e-01,0.000000000000000000e+00
2.403659378290137760e-01,4.911079149047489212e-01,6.922745047807659091e-01,-1.068504647612569469e+00,-1.449875562906262960e+00,-1.272604612648476685e+00,6.350009514888119710e-01,6.135205730199799756e-01,3.797055464982961315e-01,0.000000000000000000e+00
3.754533839225756564e-01,7.866433869202922313e-01,1.057480123817918560e+00,1.155200683554010954e+00,1.011545238435267002e+00,-2.769010054985674874e+00,-2.743433884104089060e+00,8.313783508539163147e-01,4.986211599906276160e-01,0.000000000000000000e+00
4.110670664906499461e-01,8.556354393959026972e-01,1.150803248683609503e+00,1.276829717556635213e+00,1.136566895504789176e+00,1.082094270189599250e+00,9.950731764237059629e-01,-2.867312190433334074e+00,-3.366666299005345309e+00,0.000000000000000000e+00
4.110670664906499461e-01,8.556354393959026972e-01,1.150803248683609503e+00,1.276829717556635213e+00,1.136566895504789176e+00,1.082094270189599250e+00,9.950731764237059629e-01,-2.867312190433334074e+00,-3.366666299005345309e+00,0.000000000000000000e+00
1.992944795555512127e-01,-9.745139380031141441e-01,-1.327142867439322194e+00,-1.095297789586909154e+00,7.121985382305247025e-01,7.025728921360403501e-01,7.315996332234795396e-01,6.677920361426131768e-01,4.060418622758635854e-01,0.000000000000000000e+00
2.715893294877441688e-01,5.757301324672143839e-01,7.773198167747878973e-01,8.633829992082339144e-01,7.623165690965085783e-01,6.862348916795502074e-01,-1.565177488956182250e+00,-1.758165874116941918e+00,-1.869757813804673763e+00,0.000000000000000000e+00
2.715893294877441688e-01,5.757301324672143839e-01,7.773198167747878973e-01,8.633829992082339144e-01,7.623165690965085783e-01,6.862348916795502074e-01,-1.565177488956182250e+00,-1.758165874116941918e+00,-1.869757813804673763e+00,0.000000000000000000e+00
3.109927291340260913e-01,6.840032166904839173e-01,-2.490295133961565544e+00,-2.408448321594124586e+00,9.952226986752611415e-01,9.622077276176839167e-01,9.817317355937402734e-01,8.790286459194284197e-01,5.274974720742956480e-01,0.000000000000000000e+00
3.479923597640454114e-01,7.063035239444808155e-01,9.979974878496578050e-01,-2.402857609603135547e+00,-2.734210907631445142e+00,8.500167911714935354e-01,9.544206953909641911e-01,8.652683483428434963e-01,5.178501154051881050e-01,0.000000000000000000e+00
3.109927291340260913e-01,6.840032166904839173e-01,-2.490295133961565544e+00,-2.408448321594124586e+00,9.952226986752611415e-01,9.622077276176839167e-01,9.817317355937402734e-01,8.790286459194284197e-01,5.274974720742956480e-01,0.000000000000000000e+00
1.992944795555512127e-01,-9.745139380031141441e-01,-1.327142867439322194e+00,-1.095297789586909154e+00,7.121985382305247025e-01,7.025728921360403501e-01,7.315996332234795396e-01,6.677920361426131768e-01,4.060418622758635854e-01,0.000000000000000000e+00
3.955117779970163117e-01,8.257830967903138086e-01,1.111636104444659878e+00,1.233304307421047019e+00,1.105599958916503534e+00,1.020615773995713571e+00,-2.776161445418985796e+00,-2.984709395408627230e+00,4.868987727165197121e-01,0.000000000000000000e+00
2.715893294877441688e-01,5.757301324672143839e-01,7.773198167747878973e-01,8.633829992082339144e-01,7.623165690965085783e-01,6.862348916795502074e-01,-1.565177488956182250e+00,-1.758165874116941918e+00,-1.869757813804673763e+00,0.000000000000000000e+00
2.803143448299807994e-01,-2.556960508757160966e+00,-2.348088787727883542e+00,1.175268090433541524e+00,1.032127344595060725e+00,1.017960949308339469e+00,1.007790014512009114e+00,9.005749316480424760e-01,5.413194502062259605e-01,0.000000000000000000e+00
3.479923597640454114e-01,7.063035239444808155e-01,9.979974878496578050e-01,-2.402857609603135547e+00,-2.734210907631445142e+00,8.500167911714935354e-01,9.544206953909641911e-01,8.652683483428434963e-01,5.178501154051881050e-01,0.000000000000000000e+00
1.992944795555512127e-01,-9.745139380031141441e-01,-1.327142867439322194e+00,-1.095297789586909154e+00,7.121985382305247025e-01,7.025728921360403501e-01,7.315996332234795396e-01,6.677920361426131768e-01,4.060418622758635854e-01,0.000000000000000000e+00
2.472192297644082992e-01,5.258589832054223479e-01,6.855917923715388884e-01,7.565192154712112593e-01,-1.287809568776021596e+00,-1.481401734683245985e+00,-1.358031734797689793e+00,5.754894430107507786e-01,3.540399651394960934e-01,0.000000000000000000e+00
3.587498165501469272e-01,7.508308926357127877e-01,9.869947159422742811e-01,1.094533183289893241e+00,-2.618657527354021575e+00,-2.783872130301252579e+00,9.082572951250595938e-01,8.441844294799676351e-01,5.120560544066932174e-01,0.000000000000000000e+00
2.715893294877441688e-01,5.757301324672143839e-01,7.773198167747878973e-01,8.633829992082339144e-01,7.623165690965085783e-01,6.862348916795502074e-01,-1.565177488956182250e+00,-1.758165874116941918e+00,-1.869757813804673763e+00,0.000000000000000000e+00
3.955117779970163117e-01,8.257830967903138086e-01,1.111636104444659878e+00,1.233304307421047019e+00,1.105599958916503534e+00,1.020615773995713571e+00,-2.776161445418985796e+00,-2.984709395408627230e+00,4.868987727165197121e-01,0.000000000000000000e+00
1.992944795555512127e-01,-9.745139380031141441e-01,-1.327142867439322194e+00,-1.095297789586909154e+00,7.121985382305247025e-01,7.025728921360403501e-01,7.315996332234795396e-01,6.677920361426131768e-01,4.060418622758635854e-01,0.000000000000000000e+00
4.110670664906499461e-01,8.556354393959026972e-01,1.150803248683609503e+00,1.276829717556635213e+00,1.136566895504789176e+00,1.082094270189599250e+00,9.950731764237059629e-01,-2.867312190433334074e+00,-3.366666299005345309e+00,0.000000000000000000e+00
3.587498165501469272e-01,7.508308926357127877e-01,9.869947159422742811e-01,1.094533183289893241e+00,-2.618657527354021575e+00,-2.783872130301252579e+00,9.082572951250595938e-01,8.441844294799676351e-01,5.120560544066932174e-01,0.000000000000000000e+00
4.110670664906499461e-01,8.556354393959026972e-01,1.150803248683609503e+00,1.276829717556635213e+00,1.136566895504789176e+00,1.082094270189599250e+00,9.950731764237059629e-01,-2.867312190433334074e+00,-3.366666299005345309e+00,0.000000000000000000e+00
1.992944795555512127e-01,-9.745139380031141441e-01,-1.327142867439322194e+00,-1.095297789586909154e+00,7.121985382305247025e-01,7.025728921360403501e-01,7.315996332234795396e-01,6.677920361426131768e-01,4.060418622758635854e-01,0.000000000000000000e+00
2.472192297644082992e-01,5.258589832054223479e-01,6.855917923715388884e-01,7.565192154712112593e-01,-1.287809568776021596e+00,-1.481401734683245985e+00,-1.358031734797689793e+00,5.754894430107507786e-01,3.540399651394960934e-01,0.000000000000000000e+00
3.479923597640454114e-01,7.063035239444808155e-01,9.979974878496578050e-01,-2.402857609603135547e+00,-2.734210907631445142e+00,8.500167911714935354e-01,9.544206953909641911e-01,8.652683483428434963e-01,5.178501154051881050e-01,0.000000000000000000e+00
2.472192297644082992e-01,5.258589832054223479e-01,6.855917923715388884e-01,7.565192154712112593e-01,-1.287809568776021596e+00,-1.481401734683245985e+00,-1.358031734797689793e+00,5.754894430107507786e-01,3.540399651394960934e-01,0.000000000000000000e+00
2.137943037814554748e-01,4.814470456507475293e-01,-9.338349097304865509e-01,-1.318372443311740749e+00,-1.189433549556469183e+00,6.096047723558171150e-01,6.907928057180502401e-01,6.445020427770090654e-01,3.909579067495144722e-01,0.000000000000000000e+00
2.403659378290137760e-01,4.911079149047489212e-01,6.922745047807659091e-01,-1.068504647612569469e+00,-1.449875562906262960e+00,-1.272604612648476685e+00,6.350009514888119710e-01,6.135205730199799756e-01,3.797055464982961315e-01,0.000000000000000000e+00
3.754533839225756564e-01,7.866433869202922313e-01,1.057480123817918560e+00,1.155200683554010954e+00,1.011545238435267002e+00,-2.769010054985674874e+00,-2.743433884104089060e+00,8.313783508539163147e-01,4.986211599906276160e-01,0.000000000000000000e+00
3.754533839225756564e-01,7.866433869202922313e-01,1.057480123817918560e+00,1.155200683554010954e+00,1.011545238435267002e+00,-2.769010054985674874e+00,-2.743433884104089060e+00,8.313783508539163147e-01,4.986211599906276160e-01,0.000000000000000000e+00
3.479923597640454114e-01,7.063035239444808155e-01,9.979974878496578050e-01,-2.402857609603135547e+00,-2.734210907631445142e+00,8.500167911714935354e-01,9.544206953909641911e-01,8.652683483428434963e-01,5.178501154051881050e-01,0.000000000000000000e+00
2.566849932140747859e-01,5.467186743285902262e-01,7.371922464039547540e-01,7.940085655318359636e-01,6.860850270655378669e-01,-1.444830454084602422e+00,-1.537667137755285074e+00,-1.528005075070588692e+00,3.321111769146380954e-01,0.000000000000000000e+00
3.587498165501469272e-01,7.508308926357127877e-01,9.869947159422742811e-01,1.094533183289893241e+00,-2.618657527354021575e+00,-2.783872130301252579e+00,9.082572951250595938e-01,8.441844294799676351e-01,5.120560544066932174e-01,0.000000000000000000e+00
3.109927291340260913e-01,6.840032166904839173e-01,-2.490295133961565544e+00,-2.408448321594124586e+00,9.952226986752611415e-01,9.622077276176839167e-01,9.817317355937402734e-01,8.790286459194284197e-01,5.274974720742956480e-01,0.000000000000000000e+00
3.754533839225756564e-01,7.866433869202922313e-01,1.057480123817918560e+00,1.155200683554010954e+00,1.011545238435267002e+00,-2.769010054985674874e+00,-2.743433884104089060e+00,8.313783508539163147e-01,4.986211599906276160e-01,0.000000000000000000e+00
2.715893294877441688e-01,5.757301324672143839e-01,7.773198167747878973e-01,8.633829992082339144e-01,7.623165690965085783e-01,6.862348916795502074e-01,-1.565177488956182250e+00,-1.758165874116941918e+00,-1.869757813804673763e+00,0.000000000000000000e+00
3.955117779970163117e-01,8.257830967903138086e-01,1.111636104444659878e+00,1.233304307421047019e+00,1.105599958916503534e+00,1.020615773995713571e+00,-2.776161445418985796e+00,-2.984709395408627230e+00,4.868987727165197121e-01,0.000000000000000000e+00
2.403659378290137760e-01,4.911079149047489212e-01,6.922745047807659091e-01,-1.068504647612569469e+00,-1.449875562906262960e+00,-1.272604612648476685e+00,6.350009514888119710e-01,6.135205730199799756e-01,3.797055464982961315e-01,0.000000000000000000e+00
1.992944795555512127e-01,-9.745139380031141441e-01,-1.327142867439322194e+00,-1.095297789586909154e+00,7.121985382305247025e-01,7.025728921360403501e-01,7.315996332234795396e-01,6.677920361426131768e-01,4.060418622758635854e-01,0.000000000000000000e+00
2.566849932140747859e-01,5.467186743285902262e-01,7.371922464039547540e-01,7.940085655318359636e-01,6.860850270655378669e-01,-1.444830454084602422e+00,-1.537667137755285074e+00,-1.528005075070588692e+00,3.321111769146380954e-01,0.000000000000000000e+00
3.754533839225756564e-01,7.866433869202922313e-01,1.057480123817918560e+00,1.155200683554010954e+00,1.011545238435267002e+00,-2.769010054985674874e+00,-2.743433884104089060e+00,8.313783508539163147e-01,4.986211599906276160e-01,0.000000000000000000e+00
3.479923597640454114e-01,7.063035239444808155e-01,9.979974878496578050e-01,-2.402857609603135547e+00,-2.734210907631445142e+00,8.500167911714935354e-01,9.544206953909641911e-01,8.652683483428434963e-01,5.178501154051881050e-01,0.000000000000000000e+00
3.754533839225756564e-01,7.866433869202922313e-01,1.057480123817918560e+00,1.155200683554010954e+00,1.011545238435267002e+00,-2.769010054985674874e+00,-2.743433884104089060e+00,8.313783508539163147e-01,4.986211599906276160e-01,0.000000000000000000e+00
3.587498165501469272e-01,7.508308926357127877e-01,9.869947159422742811e-01,1.094533183289893241e+00,-2.618657527354021575e+00,-2.783872130301252579e+00,9.082572951250595938e-01,8.441844294799676351e-01,5.120560544066932174e-01,0.000000000000000000e+00
3.109927291340260913e-01,6.840032166904839173e-01,-2.490295133961565544e+00,-2.408448321594124586e+00,9.952226986752611415e-01,9.622077276176839167e-01,9.817317355937402734e-01,8.790286459194284197e-01,5.274974720742956480e-01,0.000000000000000000e+00
2.715893294877441688e-01,5.757301324672143839e-01,7.773198167747878973e-01,8.633829992082339144e-01,7.623165690965085783e-01,6.862348916795502074e-01,-1.565177488956182250e+00,-1.758165874116941918e+00,-1.869757813804673763e+00,0.000000000000000000e+00
2.715893294877441688e-01,5.757301324672143839e-01,7.773198167747878973e-01,8.633829992082339144e-01,7.623165690965085783e-01,6.862348916795502074e-01,-1.565177488956182250e+00,-1.758165874116941918e+00,-1.869757813804673763e+00,0.000000000000000000e+00
2.472192297644082992e-01,5.258589832054223479e-01,6.855917923715388884e-01,7.565192154712112593e-01,-1.287809568776021596e+00,-1.481401734683245985e+00,-1.358031734797689793e+00,5.754894430107507786e-01,3.540399651394960934e-01,0.000000000000000000e+00
-2.770057266619461167e+00,-2.435508531100211371e+00,1.036605279895992826e+00,1.198571994655657669e+00,1.092523282183537781e+00,1.057790082746077776e+00,1.043664533111781978e+00,9.317329141033997564e-01,5.601275067461841672e-01,0.000000000000000000e+00
2.803143448299807994e-01,-2.556960508757160966e+00,-2.348088787727883542e+00,1.175268090433541524e+00,1.032127344595060725e+00,1.017960949308339469e+00,1.007790014512009114e+00,9.005749316480424760e-01,5.413194502062259605e-01,0.000000000000000000e+00
2.803143448299807994e-01,-2.556960508757160966e+00,-2.348088787727883542e+00,1.175268090433541524e+00,1.032127344595060725e+00,1.017960949308339469e+00,1.007790014512009114e+00,9.005749316480424760e-01,5.413194502062259605e-01,0.000000000000000000e+00
-2.770057266619461167e+00,-2.435508531100211371e+00,1.036605279895992826e+00,1.198571994655657669e+00,1.092523282183537781e+00,1.057790082746077776e+00,1.043664533111781978e+00,9.317329141033997564e-01,5.601275067461841672e-01,0.000000000000000000e+00
2.566849932140747859e-01,5.467186743285902262e-01,7.371922464039547540e-01,7.940085655318359636e-01,6.860850270655378669e-01,-1.444830454084602422e+00,-1.537667137755285074e+00,-1.528005075070588692e+00,3.321111769146380954e-01,0.000000000000000000e+00
3.109927291340260913e-01,6.840032166904839173e-01,-2.490295133961565544e+00,-2.408448321594124586e+00,9.952226986752611415e-01,9.622077276176839167e-01,9.817317355937402734e-01,8.790286459194284197e-01,5.274974720742956480e-01,0.000000000000000000e+00
3.754533839225756564e-01,7.866433869202922313e-01,1.057480123817918560e+00,1.155200683554010954e+00,1.011545238435267002e+00,-2.769010054985674874e+00,-2.743433884104089060e+00,8.313783508539163147e-01,4.986211599906276160e-01,0.000000000000000000e+00
3.479923597640454114e-01,7.063035239444808155e-01,9.979974878496578050e-01,-2.402857609603135547e+00,-2.734210907631445142e+00,8.500167911714935354e-01,9.544206953909641911e-01,8.652683483428434963e-01,5.178501154051881050e-01,0.000000000000000000e+00
2.472192297644082992e-01,5.258589832054223479e-01,6.855917923715388884e-01,7.565192154712112593e-01,-1.287809568776021596e+00,-1.481401734683245985e+00,-1.358031734797689793e+00,5.754894430107507786e-01,3.540399651394960934e-01,0.000000000000000000e+00
2.403659378290137760e-01,4.911079149047489212e-01,6.922745047807659091e-01,-1.068504647612569469e+00,-1.449875562906262960e+00,-1.272604612648476685e+00,6.350009514888119710e-01,6.135205730199799756e-01,3.797055464982961315e-01,0.000000000000000000e+00
-1.200268385284475103e+00,-1.408477082901531396e+00,-1.210707679145866411e+00,8.592177261577684799e-01,7.700398080812571600e-01,7.634581397838040573e-01,7.639409799244679666e-01,6.954248476293356518e-01,4.231740720934339395e-01,0.000000000000000000e+00
2.803143448299807994e-01,-2.556960508757160966e+00,-2.348088787727883542e+00,1.175268090433541524e+00,1.032127344595060725e+00,1.017960949308339469e+00,1.007790014512009114e+00,9.005749316480424760e-01,5.413194502062259605e-01,0.000000000000000000e+00
2.566849932140747859e-01,5.467186743285902262e-01,7.371922464039547540e-01,7.940085655318359636e-01,6.860850270655378669e-01,-1.444830454084602422e+00,-1.537667137755285074e+00,-1.528005075070588692e+00,3.321111769146380954e-01,0.000000000000000000e+00
4.110670664906499461e-01,8.556354393959026972e-01,1.150803248683609503e+00,1.276829717556635213e+00,1.136566895504789176e+00,1.082094270189599250e+00,9.950731764237059629e-01,-2.867312190433334074e+00,-3.366666299005345309e+00,0.000000000000000000e+00
4.110670664906499461e-01,8.556354393959026972e-01,1.150803248683609503e+00,1.276829717556635213e+00,1.136566895504789176e+00,1.082094270189599250e+00,9.950731764237059629e-01,-2.867312190433334074e+00,-3.366666299005345309e+00,0.000000000000000000e+00
-2.770057266619461167e+00,-2.435508531100211371e+00,1.036605279895992826e+00,1.198571994655657669e+00,1.092523282183537781e+00,1.057790082746077776e+00,1.043664533111781978e+00,9.317329141033997564e-01,5.601275067461841672e-01,0.000000000000000000e+00
3.587498165501469272e-01,7.508308926357127877e-01,9.869947159422742811e-01,1.094533183289893241e+00,-2.618657527354021575e+00,-2.783872130301252579e+00,9.082572951250595938e-01,8.441844294799676351e-01,5.120560544066932174e-01,0.000000000000000000e+00
-1.200268385284475103e+00,-1.408477082901531396e+00,-1.210707679145866411e+00,8.592177261577684799e-01,7.700398080812571600e-01,7.634581397838040573e-01,7.639409799244679666e-01,6.954248476293356518e-01,4.231740720934339395e-01,0.000000000000000000e+00
3.479923597640454114e-01,7.063035239444808155e-01,9.979974878496578050e-01,-2.402857609603135547e+00,-2.734210907631445142e+00,8.500167911714935354e-01,9.544206953909641911e-01,8.652683483428434963e-01,5.178501154051881050e-01,0.000000000000000000e+00
2.803143448299807994e-01,-2.556960508757160966e+00,-2.348088787727883542e+00,1.175268090433541524e+00,1.032127344595060725e+00,1.017960949308339469e+00,1.007790014512009114e+00,9.005749316480424760e-01,5.413194502062259605e-01,0.000000000000000000e+00
-2.770057266619461167e+00,-2.435508531100211371e+00,1.036605279895992826e+00,1.198571994655657669e+00,1.092523282183537781e+00,1.057790082746077776e+00,1.043664533111781978e+00,9.317329141033997564e-01,5.601275067461841672e-01,0.000000000000000000e+00
2.137943037814554748e-01,4.814470456507475293e-01,-9.338349097304865509e-01,-1.318372443311740749e+00,-1.189433549556469183e+00,6.096047723558171150e-01,6.907928057180502401e-01,6.445020427770090654e-01,3.909579067495144722e-01,0.000000000000000000e+00
2.137943037814554748e-01,4.814470456507475293e-01,-9.338349097304865509e-01,-1.318372443311740749e+00,-1.189433549556469183e+00,6.096047723558171150e-01,6.907928057180502401e-01,6.445020427770090654e-01,3.909579067495144722e-01,0.000000000000000000e+00
4.110670664906499461e-01,8.556354393959026972e-01,1.150803248683609503e+00,1.276829717556635213e+00,1.136566895504789176e+00,1.082094270189599250e+00,9.950731764237059629e-01,-2.867312190433334074e+00,-3.366666299005345309e+00,0.000000000000000000e+00
3.955117779970163117e-01,8.257830967903138086e-01,1.111636104444659878e+00,1.233304307421047019e+00,1.105599958916503534e+00,1.020615773995713571e+00,-2.776161445418985796e+00,-2.984709395408627230e+00,4.868987727165197121e-01,0.000000000000000000e+00
3.109927291340260913e-01,6.840032166904839173e-01,-2.490295133961565544e+00,-2.408448321594124586e+00,9.952226986752611415e-01,9.622077276176839167e-01,9.817317355937402734e-01,8.790286459194284197e-01,5.274974720742956480e-01,0.000000000000000000e+00
2.803143448299807994e-01,-2.556960508757160966e+00,-2.348088787727883542e+00,1.175268090433541524e+00,1.032127344595060725e+00,1.017960949308339469e+00,1.007790014512009114e+00,9.005749316480424760e-01,5.413194502062259605e-01,0.000000000000000000e+00
2.803143448299807994e-01,-2.556960508757160966e+00,-2.348088787727883542e+00,1.175268090433541524e+00,1.032127344595060725e+00,1.017960949308339469e+00,1.007790014512009114e+00,9.005749316480424760e-01,5.413194502062259605e-01,0.000000000000000000e+00
2.403659378290137760e-01,4.911079149047489212e-01,6.922745047807659091e-01,-1.068504647612569469e+00,-1.449875562906262960e+00,-1.272604612648476685e+00,6.350009514888119710e-01,6.135205730199799756e-01,3.797055464982961315e-01,0.000000000000000000e+00
