s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
4.167756502516245520e-03,1.083523478048020738e-03,-2.913709408603540330e-03,8.010839150132026409e-02,8.565226776804892028e-02,-3.724251866092265911e-02,9.906783367814864238e-04,-3.514604897548734286e-04,5.459090209876116262e-03,0.000000000000000000e+00
5.357162449509275670e-03,2.053822185844371428e-03,-5.628954113461995257e-03,2.066133836141470781e-01,-2.051224947658691899e-02,-7.269376170076352617e-02,2.253659870164889667e-03,-4.525652850662226223e-04,5.748648379619220039e-03,0.000000000000000000e+00
1.458500249966357964e-01,-4.503872777024450769e-03,-6.393258503323701047e-04,-9.306079014204382549e-03,-1.115863141324387880e-02,-3.662117850966983834e-03,5.726684651648841773e-04,1.433488692466206027e-04,-6.682797812918835068e-02,0.000000000000000000e+00
-5.888310893159286186e-02,8.902659425512535196e-04,-4.981301175423780148e-04,-9.079953804922658023e-03,-9.004147953353712486e-03,-6.814595995160994957e-03,6.481422772628628315e-04,4.566175835204397404e-04,1.357114248387513988e-01,0.000000000000000000e+00
4.167756502516245520e-03,1.083523478048020738e-03,-2.913709408603540330e-03,8.010839150132026409e-02,8.565226776804892028e-02,-3.724251866092265911e-02,9.906783367814864238e-04,-3.514604897548734286e-04,5.459090209876116262e-03,0.000000000000000000e+00
-1.174946453981101091e-01,-6.066393307410378188e-03,-7.566346909540944132e-03,-2.322556681822360303e-01,-1.512450940251964804e-01,-1.814068163825817148e-01,2.568760029971473013e-03,-5.529161747549471428e-04,-1.311286514668413838e-01,0.000000000000000000e+00
4.922523116693125478e-03,-6.320957173903130055e-03,-8.170467669455130921e-03,2.061920616955806029e-01,-2.228785258904126404e-02,-7.256318389996899154e-02,3.789944112921848907e-03,-6.337320155771902774e-04,5.250800389796431156e-03,0.000000000000000000e+00
4.922523116693125478e-03,-6.320957173903130055e-03,-8.170467669455130921e-03,2.061920616955806029e-01,-2.228785258904126404e-02,-7.256318389996899154e-02,3.789944112921848907e-03,-6.337320155771902774e-04,5.250800389796431156e-03,0.000000000000000000e+00
3.267123331316047763e-03,4.694417547123887202e-03,1.217647014061613853e-02,-9.608752872763851038e-02,-2.690468974504604122e-02,2.157136579450846803e-01,-5.510858613687268093e-03,-9.632825696222965806e-04,4.509261210138698628e-03,0.000000000000000000e+00
4.097190620377666459e-03,1.597550213026349697e-03,2.244149592084881961e-03,-4.703402704590343986e-02,9.056480658271590101e-02,7.912023144339580538e-02,9.050846990820149429e-04,-5.541499216731443633e-04,6.000785288090670910e-03,0.000000000000000000e+00
3.607543815858621494e-03,1.222399317969788402e-03,1.453377306151387716e-03,4.143430662465585890e-02,4.654850345539578160e-02,3.739342494495161151e-02,7.561953840777985159e-04,-5.767626212908882888e-04,5.222259765490983030e-03,0.000000000000000000e+00
3.267123331316047763e-03,4.694417547123887202e-03,1.217647014061613853e-02,-9.608752872763851038e-02,-2.690468974504604122e-02,2.157136579450846803e-01,-5.510858613687268093e-03,-9.632825696222965806e-04,4.509261210138698628e-03,0.000000000000000000e+00
-5.883933930192124934e-02,1.017336295296572546e-03,-7.425434465209157509e-04,-1.002731701328107849e-02,-9.692792540416057812e-03,-7.327278529293872189e-03,-3.706518666194563716e-04,2.273190353684062526e-04,1.332163695438455808e-01,0.000000000000000000e+00
-5.883933930192124934e-02,1.017336295296572546e-03,-7.425434465209157509e-04,-1.002731701328107849e-02,-9.692792540416057812e-03,-7.327278529293872189e-03,-3.706518666194563716e-04,2.273190353684062526e-04,1.332163695438455808e-01,0.000000000000000000e+00
4.922523116693125478e-03,-6.320957173903130055e-03,-8.170467669455130921e-03,2.061920616955806029e-01,-2.228785258904126404e-02,-7.256318389996899154e-02,3.789944112921848907e-03,-6.337320155771902774e-04,5.250800389796431156e-03,0.000000000000000000e+00
-5.888310893159286186e-02,8.902659425512535196e-04,-4.981301175423780148e-04,-9.079953804922658023e-03,-9.004147953353712486e-03,-6.814595995160994957e-03,6.481422772628628315e-04,4.566175835204397404e-04,1.357114248387513988e-01,0.000000000000000000e+00
-5.888310893159286186e-02,8.902659425512535196e-04,-4.981301175423780148e-04,-9.079953804922658023e-03,-9.004147953353712486e-03,-6.814595995160994957e-03,6.481422772628628315e-04,4.566175835204397404e-04,1.357114248387513988e-01,0.000000000000000000e+00
5.357162449509275670e-03,2.053822185844371428e-03,-5.628954113461995257e-03,2.066133836141470781e-01,-2.051224947658691899e-02,-7.269376170076352617e-02,2.253659870164889667e-03,-4.525652850662226223e-04,5.748648379619220039e-03,0.000000000000000000e+00
4.271210888400905903e-03,8.890232288586152887e-04,9.925086346143086047e-04,7.989437646698289985e-02,8.344093078436889965e-02,-3.773627912874050888e-02,4.582172368346737468e-04,-2.582023370386321570e-04,5.030486064652339717e-03,0.000000000000000000e+00
5.357162449509275670e-03,2.053822185844371428e-03,-5.628954113461995257e-03,2.066133836141470781e-01,-2.051224947658691899e-02,-7.269376170076352617e-02,2.253659870164889667e-03,-4.525652850662226223e-04,5.748648379619220039e-03,0.000000000000000000e+00
4.922523116693125478e-03,-6.320957173903130055e-03,-8.170467669455130921e-03,2.061920616955806029e-01,-2.228785258904126404e-02,-7.256318389996899154e-02,3.789944112921848907e-03,-6.337320155771902774e-04,5.250800389796431156e-03,0.000000000000000000e+00
-1.162079453468322088e-01,1.298914453014332615e-03,6.189084214467399647e-04,-2.328017944820842122e-01,-1.481626519234846007e-01,-1.929826701246205034e-01,-1.051080595702136300e-03,1.162140637015141031e-03,-1.304259030520911189e-01,0.000000000000000000e+00
-5.888310893159286186e-02,8.902659425512535196e-04,-4.981301175423780148e-04,-9.079953804922658023e-03,-9.004147953353712486e-03,-6.814595995160994957e-03,6.481422772628628315e-04,4.566175835204397404e-04,1.357114248387513988e-01,0.000000000000000000e+00
-1.174946453981101091e-01,-6.066393307410378188e-03,-7.566346909540944132e-03,-2.322556681822360303e-01,-1.512450940251964804e-01,-1.814068163825817148e-01,2.568760029971473013e-03,-5.529161747549471428e-04,-1.311286514668413838e-01,0.000000000000000000e+00
4.271210888400905903e-03,8.890232288586152887e-04,9.925086346143086047e-04,7.989437646698289985e-02,8.344093078436889965e-02,-3.773627912874050888e-02,4.582172368346737468e-04,-2.582023370386321570e-04,5.030486064652339717e-03,0.000000000000000000e+00
4.922523116693125478e-03,-6.320957173903130055e-03,-8.170467669455130921e-03,2.061920616955806029e-01,-2.228785258904126404e-02,-7.256318389996899154e-02,3.789944112921848907e-03,-6.337320155771902774e-04,5.250800389796431156e-03,0.000000000000000000e+00
3.917956759221907781e-03,2.126364015352974479e-03,3.592098810709945522e-03,-4.739110404190904902e-02,9.349108939835099052e-02,7.741537359698438814e-02,-2.144975117407479925e-03,-6.727780333407457070e-04,6.597582502911536473e-03,0.000000000000000000e+00
4.097190620377666459e-03,1.597550213026349697e-03,2.244149592084881961e-03,-4.703402704590343986e-02,9.056480658271590101e-02,7.912023144339580538e-02,9.050846990820149429e-04,-5.541499216731443633e-04,6.000785288090670910e-03,0.000000000000000000e+00
-5.888310893159286186e-02,8.902659425512535196e-04,-4.981301175423780148e-04,-9.079953804922658023e-03,-9.004147953353712486e-03,-6.814595995160994957e-03,6.481422772628628315e-04,4.566175835204397404e-04,1.357114248387513988e-01,0.000000000000000000e+00
-1.162079453468322088e-01,1.298914453014332615e-03,6.189084214467399647e-04,-2.328017944820842122e-01,-1.481626519234846007e-01,-1.929826701246205034e-01,-1.051080595702136300e-03,1.162140637015141031e-03,-1.304259030520911189e-01,0.000000000000000000e+00
4.922523116693125478e-03,-6.320957173903130055e-03,-8.170467669455130921e-03,2.061920616955806029e-01,-2.228785258904126404e-02,-7.256318389996899154e-02,3.789944112921848907e-03,-6.337320155771902774e-04,5.250800389796431156e-03,0.000000000000000000e+00
-5.883933930192124934e-02,1.017336295296572546e-03,-7.425434465209157509e-04,-1.002731701328107849e-02,-9.692792540416057812e-03,-7.327278529293872189e-03,-3.706518666194563716e-04,2.273190353684062526e-04,1.332163695438455808e-01,0.000000000000000000e+00
4.097190620377666459e-03,1.597550213026349697e-03,2.244149592084881961e-03,-4.703402704590343986e-02,9.056480658271590101e-02,7.912023144339580538e-02,9.050846990820149429e-04,-5.541499216731443633e-04,6.000785288090670910e-03,0.000000000000000000e+00
-5.883933930192124934e-02,1.017336295296572546e-03,-7.425434465209157509e-04,-1.002731701328107849e-02,-9.692792540416057812e-03,-7.327278529293872189e-03,-3.706518666194563716e-04,2.273190353684062526e-04,1.332163695438455808e-01,0.000000000000000000e+00
4.922523116693125478e-03,-6.320957173903130055e-03,-8.170467669455130921e-03,2.061920616955806029e-01,-2.228785258904126404e-02,-7.256318389996899154e-02,3.789944112921848907e-03,-6.337320155771902774e-04,5.250800389796431156e-03,0.000000000000000000e+00
3.917956759221907781e-03,2.126364015352974479e-03,3.592098810709945522e-03,-4.739110404190904902e-02,9.349108939835099052e-02,7.741537359698438814e-02,-2.144975117407479925e-03,-6.727780333407457070e-04,6.597582502911536473e-03,0.000000000000000000e+00
4.271210888400905903e-03,8.890232288586152887e-04,9.925086346143086047e-04,7.989437646698289985e-02,8.344093078436889965e-02,-3.773627912874050888e-02,4.582172368346737468e-04,-2.582023370386321570e-04,5.030486064652339717e-03,0.000000000000000000e+00
3.917956759221907781e-03,2.126364015352974479e-03,3.592098810709945522e-03,-4.739110404190904902e-02,9.349108939835099052e-02,7.741537359698438814e-02,-2.144975117407479925e-03,-6.727780333407457070e-04,6.597582502911536473e-03,0.000000000000000000e+00
4.167756502516245520e-03,1.083523478048020738e-03,-2.913709408603540330e-03,8.010839150132026409e-02,8.565226776804892028e-02,-3.724251866092265911e-02,9.906783367814864238e-04,-3.514604897548734286e-04,5.459090209876116262e-03,0.000000000000000000e+00
3.607543815858621494e-03,1.222399317969788402e-03,1.453377306151387716e-03,4.143430662465585890e-02,4.654850345539578160e-02,3.739342494495161151e-02,7.561953840777985159e-04,-5.767626212908882888e-04,5.222259765490983030e-03,0.000000000000000000e+00
3.267123331316047763e-03,4.694417547123887202e-03,1.217647014061613853e-02,-9.608752872763851038e-02,-2.690468974504604122e-02,2.157136579450846803e-01,-5.510858613687268093e-03,-9.632825696222965806e-04,4.509261210138698628e-03,0.000000000000000000e+00
3.267123331316047763e-03,4.694417547123887202e-03,1.217647014061613853e-02,-9.608752872763851038e-02,-2.690468974504604122e-02,2.157136579450846803e-01,-5.510858613687268093e-03,-9.632825696222965806e-04,4.509261210138698628e-03,0.000000000000000000e+00
4.271210888400905903e-03,8.890232288586152887e-04,9.925086346143086047e-04,7.989437646698289985e-02,8.344093078436889965e-02,-3.773627912874050888e-02,4.582172368346737468e-04,-2.582023370386321570e-04,5.030486064652339717e-03,0.000000000000000000e+00
3.967274751514163200e-03,4.043603305704815409e-03,1.056766126335900724e-02,-9.496801019677310329e-02,-2.595006987918146990e-02,2.176002512341372874e-01,-4.840571329307874482e-03,3.100523212924359562e-03,5.158691996087594323e-03,0.000000000000000000e+00
4.097190620377666459e-03,1.597550213026349697e-03,2.244149592084881961e-03,-4.703402704590343986e-02,9.056480658271590101e-02,7.912023144339580538e-02,9.050846990820149429e-04,-5.541499216731443633e-04,6.000785288090670910e-03,0.000000000000000000e+00
5.357162449509275670e-03,2.053822185844371428e-03,-5.628954113461995257e-03,2.066133836141470781e-01,-2.051224947658691899e-02,-7.269376170076352617e-02,2.253659870164889667e-03,-4.525652850662226223e-04,5.748648379619220039e-03,0.000000000000000000e+00
3.267123331316047763e-03,4.694417547123887202e-03,1.217647014061613853e-02,-9.608752872763851038e-02,-2.690468974504604122e-02,2.157136579450846803e-01,-5.510858613687268093e-03,-9.632825696222965806e-04,4.509261210138698628e-03,0.000000000000000000e+00
-5.888310893159286186e-02,8.902659425512535196e-04,-4.981301175423780148e-04,-9.079953804922658023e-03,-9.004147953353712486e-03,-6.814595995160994957e-03,6.481422772628628315e-04,4.566175835204397404e-04,1.357114248387513988e-01,0.000000000000000000e+00
-1.162079453468322088e-01,1.298914453014332615e-03,6.189084214467399647e-04,-2.328017944820842122e-01,-1.481626519234846007e-01,-1.929826701246205034e-01,-1.051080595702136300e-03,1.162140637015141031e-03,-1.304259030520911189e-01,0.000000000000000000e+00
3.607543815858621494e-03,1.222399317969788402e-03,1.453377306151387716e-03,4.143430662465585890e-02,4.654850345539578160e-02,3.739342494495161151e-02,7.561953840777985159e-04,-5.767626212908882888e-04,5.222259765490983030e-03,0.000000000000000000e+00
4.922523116693125478e-03,-6.320957173903130055e-03,-8.170467669455130921e-03,2.061920616955806029e-01,-2.228785258904126404e-02,-7.256318389996899154e-02,3.789944112921848907e-03,-6.337320155771902774e-04,5.250800389796431156e-03,0.000000000000000000e+00
3.967274751514163200e-03,4.043603305704815409e-03,1.056766126335900724e-02,-9.496801019677310329e-02,-2.595006987918146990e-02,2.176002512341372874e-01,-4.840571329307874482e-03,3.100523212924359562e-03,5.158691996087594323e-03,0.000000000000000000e+00
3.267123331316047763e-03,4.694417547123887202e-03,1.217647014061613853e-02,-9.608752872763851038e-02,-2.690468974504604122e-02,2.157136579450846803e-01,-5.510858613687268093e-03,-9.632825696222965806e-04,4.509261210138698628e-03,0.000000000000000000e+00
4.271210888400905903e-03,8.890232288586152887e-04,9.925086346143086047e-04,7.989437646698289985e-02,8.344093078436889965e-02,-3.773627912874050888e-02,4.582172368346737468e-04,-2.582023370386321570e-04,5.030486064652339717e-03,0.000000000000000000e+00
3.267123331316047763e-03,4.694417547123887202e-03,1.217647014061613853e-02,-9.608752872763851038e-02,-2.690468974504604122e-02,2.157136579450846803e-01,-5.510858613687268093e-03,-9.632825696222965806e-04,4.509261210138698628e-03,0.000000000000000000e+00
4.097190620377666459e-03,1.597550213026349697e-03,2.244149592084881961e-03,-4.703402704590343986e-02,9.056480658271590101e-02,7.912023144339580538e-02,9.050846990820149429e-04,-5.541499216731443633e-04,6.000785288090670910e-03,0.000000000000000000e+00
5.357162449509275670e-03,2.053822185844371428e-03,-5.628954113461995257e-03,2.066133836141470781e-01,-2.051224947658691899e-02,-7.269376170076352617e-02,2.253659870164889667e-03,-4.525652850662226223e-04,5.748648379619220039e-03,0.000000000000000000e+00
-5.888310893159286186e-02,8.902659425512535196e-04,-4.981301175423780148e-04,-9.079953804922658023e-03,-9.004147953353712486e-03,-6.814595995160994957e-03,6.481422772628628315e-04,4.566175835204397404e-04,1.357114248387513988e-01,0.000000000000000000e+00
-5.888310893159286186e-02,8.902659425512535196e-04,-4.981301175423780148e-04,-9.079953804922658023e-03,-9.004147953353712486e-03,-6.814595995160994957e-03,6.481422772628628315e-04,4.566175835204397404e-04,1.357114248387513988e-01,0.000000000000000000e+00
3.917956759221907781e-03,2.126364015352974479e-03,3.592098810709945522e-03,-4.739110404190904902e-02,9.349108939835099052e-02,7.741537359698438814e-02,-2.144975117407479925e-03,-6.727780333407457070e-04,6.597582502911536473e-03,0.000000000000000000e+00
1.370445099947965872e-01,-4.073706698293058648e-03,-2.673748081860320702e-03,-1.252658185921603357e-02,-1.275827063433818478e-02,-8.817558632542819852e-03,-8.767522902536975526e-04,5.455580955995228964e-04,-6.761876598373042779e-02,0.000000000000000000e+00
-1.174946453981101091e-01,-6.066393307410378188e-03,-7.566346909540944132e-03,-2.322556681822360303e-01,-1.512450940251964804e-01,-1.814068163825817148e-01,2.568760029971473013e-03,-5.529161747549471428e-04,-1.311286514668413838e-01,0.000000000000000000e+00
-1.174946453981101091e-01,-6.066393307410378188e-03,-7.566346909540944132e-03,-2.322556681822360303e-01,-1.512450940251964804e-01,-1.814068163825817148e-01,2.568760029971473013e-03,-5.529161747549471428e-04,-1.311286514668413838e-01,0.000000000000000000e+00
1.370445099947965872e-01,-4.073706698293058648e-03,-2.673748081860320702e-03,-1.252658185921603357e-02,-1.275827063433818478e-02,-8.817558632542819852e-03,-8.767522902536975526e-04,5.455580955995228964e-04,-6.761876598373042779e-02,0.000000000000000000e+00
3.967274751514163200e-03,4.043603305704815409e-03,1.056766126335900724e-02,-9.496801019677310329e-02,-2.595006987918146990e-02,2.176002512341372874e-01,-4.840571329307874482e-03,3.100523212924359562e-03,5.158691996087594323e-03,0.000000000000000000e+00
5.357162449509275670e-03,2.053822185844371428e-03,-5.628954113461995257e-03,2.066133836141470781e-01,-2.051224947658691899e-02,-7.269376170076352617e-02,2.253659870164889667e-03,-4.525652850662226223e-04,5.748648379619220039e-03,0.000000000000000000e+00
3.267123331316047763e-03,4.694417547123887202e-03,1.217647014061613853e-02,-9.608752872763851038e-02,-2.690468974504604122e-02,2.157136579450846803e-01,-5.510858613687268093e-03,-9.632825696222965806e-04,4.509261210138698628e-03,0.000000000000000000e+00
4.271210888400905903e-03,8.890232288586152887e-04,9.925086346143086047e-04,7.989437646698289985e-02,8.344093078436889965e-02,-3.773627912874050888e-02,4.582172368346737468e-04,-2.582023370386321570e-04,5.030486064652339717e-03,0.000000000000000000e+00
3.917956759221907781e-03,2.126364015352974479e-03,3.592098810709945522e-03,-4.739110404190904902e-02,9.349108939835099052e-02,7.741537359698438814e-02,-2.144975117407479925e-03,-6.727780333407457070e-04,6.597582502911536473e-03,0.000000000000000000e+00
3.607543815858621494e-03,1.222399317969788402e-03,1.453377306151387716e-03,4.143430662465585890e-02,4.654850345539578160e-02,3.739342494495161151e-02,7.561953840777985159e-04,-5.767626212908882888e-04,5.222259765490983030e-03,0.000000000000000000e+00
1.458500249966357964e-01,-4.503872777024450769e-03,-6.393258503323701047e-04,-9.306079014204382549e-03,-1.115863141324387880e-02,-3.662117850966983834e-03,5.726684651648841773e-04,1.433488692466206027e-04,-6.682797812918835068e-02,0.000000000000000000e+00
-1.174946453981101091e-01,-6.066393307410378188e-03,-7.566346909540944132e-03,-2.322556681822360303e-01,-1.512450940251964804e-01,-1.814068163825817148e-01,2.568760029971473013e-03,-5.529161747549471428e-04,-1.311286514668413838e-01,0.000000000000000000e+00
3.967274751514163200e-03,4.043603305704815409e-03,1.056766126335900724e-02,-9.496801019677310329e-02,-2.595006987918146990e-02,2.176002512341372874e-01,-4.840571329307874482e-03,3.100523212924359562e-03,5.158691996087594323e-03,0.000000000000000000e+00
-5.883933930192124934e-02,1.017336295296572546e-03,-7.425434465209157509e-04,-1.002731701328107849e-02,-9.692792540416057812e-03,-7.327278529293872189e-03,-3.706518666194563716e-04,2.273190353684062526e-04,1.332163695438455808e-01,0.000000000000000000e+00
-5.883933930192124934e-02,1.017336295296572546e-03,-7.425434465209157509e-04,-1.002731701328107849e-02,-9.692792540416057812e-03,-7.327278529293872189e-03,-3.706518666194563716e-04,2.273190353684062526e-04,1.332163695438455808e-01,0.000000000000000000e+00
1.370445099947965872e-01,-4.073706698293058648e-03,-2.673748081860320702e-03,-1.252658185921603357e-02,-1.275827063433818478e-02,-8.817558632542819852e-03,-8.767522902536975526e-04,5.455580955995228964e-04,-6.761876598373042779e-02,0.000000000000000000e+00
4.097190620377666459e-03,1.597550213026349697e-03,2.244149592084881961e-03,-4.703402704590343986e-02,9.056480658271590101e-02,7.912023144339580538e-02,9.050846990820149429e-04,-5.541499216731443633e-04,6.000785288090670910e-03,0.000000000000000000e+00
1.458500249966357964e-01,-4.503872777024450769e-03,-6.393258503323701047e-04,-9.306079014204382549e-03,-1.115863141324387880e-02,-3.662117850966983834e-03,5.726684651648841773e-04,1.433488692466206027e-04,-6.682797812918835068e-02,0.000000000000000000e+00
4.271210888400905903e-03,8.890232288586152887e-04,9.925086346143086047e-04,7.989437646698289985e-02,8.344093078436889965e-02,-3.773627912874050888e-02,4.582172368346737468e-04,-2.582023370386321570e-04,5.030486064652339717e-03,0.000000000000000000e+00
-1.174946453981101091e-01,-6.066393307410378188e-03,-7.566346909540944132e-03,-2.322556681822360303e-01,-1.512450940251964804e-01,-1.814068163825817148e-01,2.568760029971473013e-03,-5.529161747549471428e-04,-1.311286514668413838e-01,0.000000000000000000e+00
1.370445099947965872e-01,-4.073706698293058648e-03,-2.673748081860320702e-03,-1.252658185921603357e-02,-1.275827063433818478e-02,-8.817558632542819852e-03,-8.767522902536975526e-04,5.455580955995228964e-04,-6.761876598373042779e-02,0.000000000000000000e+00
4.167756502516245520e-03,1.083523478048020738e-03,-2.913709408603540330e-03,8.010839150132026409e-02,8.565226776804892028e-02,-3.724251866092265911e-02,9.906783367814864238e-04,-3.514604897548734286e-04,5.459090209876116262e-03,0.000000000000000000e+00
4.167756502516245520e-03,1.083523478048020738e-03,-2.913709408603540330e-03,8.010839150132026409e-02,8.565226776804892028e-02,-3.724251866092265911e-02,9.906783367814864238e-04,-3.514604897548734286e-04,5.459090209876116262e-03,0.000000000000000000e+00
-5.883933930192124934e-02,1.017336295296572546e-03,-7.425434465209157509e-04,-1.002731701328107849e-02,-9.692792540416057812e-03,-7.327278529293872189e-03,-3.706518666194563716e-04,2.273190353684062526e-04,1.332163695438455808e-01,0.000000000000000000e+00
-1.162079453468322088e-01,1.298914453014332615e-03,6.189084214467399647e-04,-2.328017944820842122e-01,-1.481626519234846007e-01,-1.929826701246205034e-01,-1.051080595702136300e-03,1.162140637015141031e-03,-1.304259030520911189e-01,0.000000000000000000e+00
5.357162449509275670e-03,2.053822185844371428e-03,-5.628954113461995257e-03,2.066133836141470781e-01,-2.051224947658691899e-02,-7.269376170076352617e-02,2.253659870164889667e-03,-4.525652850662226223e-04,5.748648379619220039e-03,0.000000000000000000e+00
-1.174946453981101091e-01,-6.066393307410378188e-03,-7.566346909540944132e-03,-2.322556681822360303e-01,-1.512450940251964804e-01,-1.814068163825817148e-01,2.568760029971473013e-03,-5.529161747549471428e-04,-1.311286514668413838e-01,0.000000000000000000e+00
-1.174946453981101091e-01,-6.066393307410378188e-03,-7.566346909540944132e-03,-2.322556681822360303e-01,-1.512450940251964804e-01,-1.814068163825817148e-01,2.568760029971473013e-03,-5.529161747549471428e-04,-1.311286514668413838e-01,0.000000000000000000e+00
3.607543815858621494e-03,1.222399317969788402e-03,1.453377306151387716e-03,4.143430662465585890e-02,4.654850345539578160e-02,3.739342494495161151e-02,7.561953840777985159e-04,-5.767626212908882888e-04,5.222259765490983030e-03,0.000000000000000000e+00
